StartTime,EndTime,HydroPowerProduction
27/04/2023 12:43,27/04/2023 12:43,1458.3
27/04/2023 12:46,27/04/2023 12:46,1457.3
27/04/2023 12:49,27/04/2023 12:49,1462.3
27/04/2023 12:52,27/04/2023 12:52,1442
27/04/2023 12:55,27/04/2023 12:55,1414.4
27/04/2023 12:58,27/04/2023 12:58,1392
27/04/2023 13:01,27/04/2023 13:01,1364.7
27/04/2023 13:04,27/04/2023 13:04,1423.3
27/04/2023 13:07,27/04/2023 13:07,1371.7
27/04/2023 13:10,27/04/2023 13:10,1362.5
27/04/2023 13:13,27/04/2023 13:13,1355
27/04/2023 13:16,27/04/2023 13:16,1326.3
27/04/2023 13:19,27/04/2023 13:19,1337.4
27/04/2023 13:22,27/04/2023 13:22,1352.1
27/04/2023 13:25,27/04/2023 13:25,1349.2
27/04/2023 13:28,27/04/2023 13:28,1341.3
27/04/2023 13:31,27/04/2023 13:31,1348
27/04/2023 13:34,27/04/2023 13:34,1338.5
27/04/2023 13:37,27/04/2023 13:37,1312.7
27/04/2023 13:40,27/04/2023 13:40,1316.2
27/04/2023 13:43,27/04/2023 13:43,1287.5
27/04/2023 13:46,27/04/2023 13:46,1288.2
27/04/2023 13:49,27/04/2023 13:49,1285
27/04/2023 13:52,27/04/2023 13:52,1276.8
27/04/2023 13:55,27/04/2023 13:55,1258.7
27/04/2023 13:58,27/04/2023 13:58,1276.3
27/04/2023 14:01,27/04/2023 14:01,1295
27/04/2023 14:04,27/04/2023 14:04,1356.1
27/04/2023 14:07,27/04/2023 14:07,1361.5
27/04/2023 14:10,27/04/2023 14:10,1363.3
27/04/2023 14:13,27/04/2023 14:13,1359.4
27/04/2023 14:16,27/04/2023 14:16,1333.7
27/04/2023 14:19,27/04/2023 14:19,1321.2
27/04/2023 14:22,27/04/2023 14:22,1296.7
27/04/2023 14:25,27/04/2023 14:25,1304.5
27/04/2023 14:28,27/04/2023 14:28,1278.9
27/04/2023 14:31,27/04/2023 14:31,1264.7
27/04/2023 14:34,27/04/2023 14:34,1250
27/04/2023 14:37,27/04/2023 14:37,1245
27/04/2023 14:40,27/04/2023 14:40,1229.7
27/04/2023 14:43,27/04/2023 14:43,1231.7
27/04/2023 14:46,27/04/2023 14:46,1251
27/04/2023 14:49,27/04/2023 14:49,1252.7
27/04/2023 14:52,27/04/2023 14:52,1256.7
27/04/2023 14:55,27/04/2023 14:55,1249.5
27/04/2023 14:58,27/04/2023 14:58,1233.8
27/04/2023 15:01,27/04/2023 15:01,1201
27/04/2023 15:04,27/04/2023 15:04,1178.3
27/04/2023 15:07,27/04/2023 15:07,1154.4
27/04/2023 15:10,27/04/2023 15:10,1147
27/04/2023 15:13,27/04/2023 15:13,1140
27/04/2023 15:16,27/04/2023 15:16,1132.5
27/04/2023 15:19,27/04/2023 15:19,1137.1
27/04/2023 15:22,27/04/2023 15:22,1164
27/04/2023 15:25,27/04/2023 15:25,1162.2
27/04/2023 15:28,27/04/2023 15:28,1183
27/04/2023 15:31,27/04/2023 15:31,1191.3
27/04/2023 15:34,27/04/2023 15:34,1170.7
27/04/2023 15:37,27/04/2023 15:37,1146
